Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
safety-flooring-plus-black-2010,Safety Flooring Plus Black 2010,"<h2>Safety Flooring Plus Black 2010</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31395,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety-flooring-plus-black-2010-room-shot-1.jpg?v=1779041805,1,Safety Flooring Plus Black 2010,false,Safety Flooring Plus Black 2010,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
safety-flooring-plus-black-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety_flooring_plus_black_cx2010_1.jpg?v=1779041805,2,Safety Flooring Plus Black 2010,,,,,,,,
safety-flooring-plus-earth-brown-2014,Safety Flooring Plus Earth Brown 2014,"<h2>Safety Flooring Plus Earth Brown 2014</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31386,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety-flooring-plus-earth-brown-2014-room-shot-1.jpg?v=1779041804,1,Safety Flooring Plus Earth Brown 2014,false,Safety Flooring Plus Earth Brown 2014,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
safety-flooring-plus-earth-brown-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety_flooring_plus_earth_brown_cx2014_1.jpg?v=1779041804,2,Safety Flooring Plus Earth Brown 2014,,,,,,,,
safety-flooring-plus-blood-red-2012,Safety Flooring Plus Blood Red 2012,"<h2>Safety Flooring Plus Blood Red 2012</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31347,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety-flooring-plus-blood-red-2012-room-shot-1_2.jpg?v=1779041803,1,Safety Flooring Plus Blood Red 2012,false,Safety Flooring Plus Blood Red 2012,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
safety-flooring-plus-blood-red-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety_flooring_plus_blood_red_cx2012.jpg?v=1779041803,2,Safety Flooring Plus Blood Red 2012,,,,,,,,
safety-flooring-plus-light-beige-2001,Safety Flooring Plus Light Beige 2001,"<h2>Safety Flooring Plus Light Beige 2001</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31384,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety-flooring-plus-light-beige-2001-room-shot-1.jpg?v=1779041802,1,Safety Flooring Plus Light Beige 2001,false,Safety Flooring Plus Light Beige 2001,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
safety-flooring-plus-light-beige-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety_flooring_plus_light_beige_cx2001_2.jpg?v=1779041802,2,Safety Flooring Plus Light Beige 2001,,,,,,,,
safety-flooring-plus-light-grey-2004,Safety Flooring Plus Light Grey 2004,"<h2>Safety Flooring Plus Light Grey 2004</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31387,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety-flooring-plus-light-grey-2004-room-shot-1.jpg?v=1779041800,1,Safety Flooring Plus Light Grey 2004,false,Safety Flooring Plus Light Grey 2004,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
safety-flooring-plus-light-grey-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety_flooring_plus_light_grey_cx2004_1.jpg?v=1779041801,2,Safety Flooring Plus Light Grey 2004,,,,,,,,
safety-flooring-plus-dusky-blue-2005,Safety Flooring Plus Dusky Blue 2005,"<h2>Safety Flooring Plus Dusky Blue 2005</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31388,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety-flooring-plus-dusky-blue-2005-room-shot-1.jpg?v=1779041800,1,Safety Flooring Plus Dusky Blue 2005,false,Safety Flooring Plus Dusky Blue 2005,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
safety-flooring-plus-dusky-blue-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety_flooring_plus_dusky_sky_cx2005.jpg?v=1779041799,2,Safety Flooring Plus Dusky Blue 2005,,,,,,,,
