Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
hinton-18mm-x-120mm-solid-wood-flooring-natural-matt-lacquer,Hinton 18mm x 120mm Solid Wood Flooring Natural Matt Lacquer,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74116S,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/i/hinton_18mm_natural_matt_lacquer_solid_wood_flooring_5.jpg,1,Hinton 18mm x 120mm Solid Wood Flooring Natural Matt Lacquer,Hinton 18mm x 120mm Solid Wood Flooring Natural Matt Lacquer,,active
hinton-18mm-x-120mm-solid-wood-flooring-natural-matt-lacquer,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/i/hinton_18mm_natural_matt_lacquer_solid_wood_flooring_4.jpg,2,Hinton 18mm x 120mm Solid Wood Flooring Natural Matt Lacquer,,,
herringbone-solid-wood-flooring-18mm-natural-matt-lacquer,Herringbone Solid Wood Flooring 18mm Natural Matt Lacquer,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74167NML,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74167nml-12.jpg,1,Herringbone Solid Wood Flooring 18mm Natural Matt Lacquer,Herringbone Solid Wood Flooring 18mm Natural Matt Lacquer,,active
herringbone-solid-wood-flooring-18mm-natural-matt-lacquer,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74167nml-17.jpg,2,Herringbone Solid Wood Flooring 18mm Natural Matt Lacquer,,,
herringbone-solid-wood-flooring-18mm-natural-uv-oiled,Herringbone Solid Wood Flooring 18mm Natural Uv Oiled,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74111HB,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_flat_uv_oil_4.jpg,1,Herringbone Solid Wood Flooring 18mm Natural Uv Oiled,Herringbone Solid Wood Flooring 18mm Natural Uv Oiled,,active
herringbone-solid-wood-flooring-18mm-natural-uv-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_flat_uv_oil_16.jpg,2,Herringbone Solid Wood Flooring 18mm Natural Uv Oiled,,,
newminster-18mm-solid-wood-flooring-150mm-natural-oak-matt-lacquer,Newminster 18mm Solid Wood Flooring 150mm Natural Oak Matt Lacquer,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74117S,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/n/e/newminster_18mm_natural_oak_matt_lacquer_solid_wood_flooring_10.jpg,1,Newminster 18mm Solid Wood Flooring 150mm Natural Oak Matt Lacquer,Newminster 18mm Solid Wood Flooring 150mm Natural Oak Matt Lacquer,,active
newminster-18mm-solid-wood-flooring-150mm-natural-oak-matt-lacquer,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/n/e/newminster_18mm_natural_oak_matt_lacquer_solid_wood_flooring_11.jpg,2,Newminster 18mm Solid Wood Flooring 150mm Natural Oak Matt Lacquer,,,
herringbone-solid-wood-flooring-18mm-smoke-brushed-oiled,Herringbone Solid Wood Flooring 18mm Smoke Brushed Oiled,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74113HB,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_smoked_b_o_uv_19.jpg,1,Herringbone Solid Wood Flooring 18mm Smoke Brushed Oiled,Herringbone Solid Wood Flooring 18mm Smoke Brushed Oiled,,active
herringbone-solid-wood-flooring-18mm-smoke-brushed-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_smoked_b_o_uv_12.jpg,2,Herringbone Solid Wood Flooring 18mm Smoke Brushed Oiled,,,
malton-18mm-x-120mm-double-smoked-brushed-matt-lacquer-solid-oak-flooring,Malton 18mm x 120mm Double Smoked Brushed Matt Lacquer Solid Oak Flooring,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74118S,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/m/a/malton_18mm_double_smoked_brushed_matt_lacquer_solid_16.jpg,1,Malton 18mm x 120mm Double Smoked Brushed Matt Lacquer Solid Oak Flooring,Malton 18mm x 120mm Double Smoked Brushed Matt Lacquer Solid Oak Flooring,,active
malton-18mm-x-120mm-double-smoked-brushed-matt-lacquer-solid-oak-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/m/a/malton_18mm_double_smoked_brushed_matt_lacquer_solid_14.jpg,2,Malton 18mm x 120mm Double Smoked Brushed Matt Lacquer Solid Oak Flooring,,,
herringbone-solid-wood-flooring-18mm-golden-brushed-matt-lacquer,Herringbone Solid Wood Flooring 18mm Golden Brushed Matt Lacquer,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74112HB,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_light_golden_b_l_12.jpg,1,Herringbone Solid Wood Flooring 18mm Golden Brushed Matt Lacquer,Herringbone Solid Wood Flooring 18mm Golden Brushed Matt Lacquer,,active
herringbone-solid-wood-flooring-18mm-golden-brushed-matt-lacquer,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_light_golden_b_l_18.jpg,2,Herringbone Solid Wood Flooring 18mm Golden Brushed Matt Lacquer,,,
cumaru-18mm-solid-wood-flooring-brushed-oiled-oak-150mm-wide,Cumaru 18mm Solid Wood Flooring Brushed Oiled Oak 150mm Wide,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74126S,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/c/u/cumaru_18mm_brushed_oiled_oak_solid_wood_flooring_6.jpg,1,Cumaru 18mm Solid Wood Flooring Brushed Oiled Oak 150mm Wide,Cumaru 18mm Solid Wood Flooring Brushed Oiled Oak 150mm Wide,,active
cumaru-18mm-solid-wood-flooring-brushed-oiled-oak-150mm-wide,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/c/u/cumaru_18mm_brushed_oiled_oak_solid_wood_flooring_5.jpg,2,Cumaru 18mm Solid Wood Flooring Brushed Oiled Oak 150mm Wide,,,
herringbone-solid-wood-flooring-18mm-natural-brushed-oiled,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74110HB,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_b_o_uv_19.jpg,1,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,,active
herringbone-solid-wood-flooring-18mm-natural-brushed-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_b_o_uv_9.jpg,2,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,,,
byland-18mm-x-120mm-solid-wood-flooring-natural-brushed-uv-oiled,Byland 18mm x 120mm Solid Wood Flooring Natural Brushed Uv Oiled,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74115S,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/b/y/byland_18mm_natural_brushed_uv_oil_solid_wood_flooring_10.jpg,1,Byland 18mm x 120mm Solid Wood Flooring Natural Brushed Uv Oiled,Byland 18mm x 120mm Solid Wood Flooring Natural Brushed Uv Oiled,,active
byland-18mm-x-120mm-solid-wood-flooring-natural-brushed-uv-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/b/y/byland_18mm_natural_brushed_uv_oil_solid_wood_flooring_1.jpg,2,Byland 18mm x 120mm Solid Wood Flooring Natural Brushed Uv Oiled,,,
