Handle,Title,Body (HTML),Image Src,Image Alt Text,Must Match,Condition: Column,Condition: Relation,Condition: Condition,Sort Order,Published
advice-centre,Advice Centre,<p>Browse our range of Advice Centre.</p>,,Advice Centre,all,type,equals,Advice Centre,best-selling,TRUE
solid-wood,Solid Wood,<p>Browse our range of Solid Wood.</p>,,Solid Wood,all,type,equals,Solid Wood,best-selling,TRUE
engineered,Engineered,<p>Browse our range of Engineered.</p>,,Engineered,all,type,equals,Engineered,best-selling,TRUE
glue-down,Glue Down,<p>Browse our range of Glue Down.</p>,,Glue Down,all,type,equals,Glue Down,best-selling,TRUE
click-vinyl,Click Vinyl,<p>Browse our range of Click Vinyl.</p>,,Click Vinyl,all,type,equals,Click Vinyl,best-selling,TRUE
guide-how-to-lay-vinyl-flooring,Guide: How to Lay Vinyl Flooring,<p>Browse our range of Guide: How to Lay Vinyl Flooring.</p>,,Guide: How to Lay Vinyl Flooring,all,type,equals,Guide: How to Lay Vinyl Flooring,best-selling,TRUE
cushion-flooring,Cushion Flooring,<p>Browse our range of Cushion Flooring.</p>,,Cushion Flooring,all,type,equals,Cushion Flooring,best-selling,TRUE
commercial-vinyl,Commercial Vinyl,<p>Browse our range of Commercial Vinyl.</p>,,Commercial Vinyl,all,type,equals,Commercial Vinyl,best-selling,TRUE
acoustic-vinyl,Acoustic Vinyl,<p>Browse our range of Acoustic Vinyl.</p>,,Acoustic Vinyl,all,type,equals,Acoustic Vinyl,best-selling,TRUE
felt-back-vinyl,Felt Back Vinyl,<p>Browse our range of Felt Back Vinyl.</p>,,Felt Back Vinyl,all,type,equals,Felt Back Vinyl,best-selling,TRUE
vinyl-flooring,Vinyl Flooring,<p>Browse our range of Vinyl Flooring.</p>,,Vinyl Flooring,all,type,equals,Vinyl Flooring,best-selling,TRUE
herringbone-flooring,Herringbone Flooring,<p>Browse our range of Herringbone Flooring.</p>,,Herringbone Flooring,all,type,equals,Herringbone Flooring,best-selling,TRUE
real-wood-flooring-guides,Real Wood Flooring Guides,<p>Browse our range of Real Wood Flooring Guides.</p>,,Real Wood Flooring Guides,all,type,equals,Real Wood Flooring Guides,best-selling,TRUE
engineered-wood,Engineered Wood,<p>Browse our range of Engineered Wood.</p>,,Engineered Wood,all,type,equals,Engineered Wood,best-selling,TRUE
how-to-clean-vinyl-flooring,How to Clean Vinyl Flooring,<p>Browse our range of How to Clean Vinyl Flooring.</p>,,How to Clean Vinyl Flooring,all,type,equals,How to Clean Vinyl Flooring,best-selling,TRUE
laminate-flooring,Laminate Flooring,<p>Browse our range of Laminate Flooring.</p>,,Laminate Flooring,all,type,equals,Laminate Flooring,best-selling,TRUE
lvt-flooring,LVT Flooring,<p>Browse our range of LVT Flooring.</p>,,LVT Flooring,all,type,equals,LVT Flooring,best-selling,TRUE
carpet,Carpet,<p>Browse our range of Carpet.</p>,,Carpet,all,type,equals,Carpet,best-selling,TRUE
underlay,Underlay,<p>Browse our range of Underlay.</p>,,Underlay,all,type,equals,Underlay,best-selling,TRUE
