Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status,Google Shopping / Google Product Category,Collection
advice-centre,Advice Centre,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Advice Centre,"Advice Centre, Factory Direct Flooring, flooring, UK flooring",TRUE,Title,Default Title,,0,shopify,100,deny,manual,30.00,,TRUE,TRUE,,,Advice Centre,Advice Centre,,active,Home & Garden > Decor > Flooring,advice-centre
luxury-vinyl-tiles,Luxury Vinyl Tiles,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Advice Centre,"Advice Centre, Factory Direct Flooring, flooring, UK flooring",TRUE,Title,Default Title,,0,shopify,100,deny,manual,40.00,,TRUE,TRUE,,,Luxury Vinyl Tiles,Luxury Vinyl Tiles,,active,Home & Garden > Decor > Flooring,advice-centre
chic-parquet-dry-back-lvt-herringbone-flooring-outland,Chic Parquet Dry Back Lvt Herringbone Flooring Outland,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Glue Down,"Glue Down, flooring, UK flooring",TRUE,Title,Default Title,73662ST,0,shopify,100,deny,manual,22.78,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/3/73662stoutland11cropped.jpg,1,Chic Parquet Dry Back Lvt Herringbone Flooring Outland,Chic Parquet Dry Back Lvt Herringbone Flooring Outland,,active,Home & Garden > Decor > Flooring,glue-down
chic-parquet-dry-back-lvt-herringbone-flooring-outland,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/6/3/63662stoutlandcropped.jpg,2,Chic Parquet Dry Back Lvt Herringbone Flooring Outland,,,,,
chic-parquet-dry-back-lvt-herringbone-flooring-harbour,Chic Parquet Dry Back Lvt Herringbone Flooring Harbour,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Glue Down,"Glue Down, flooring, UK flooring",TRUE,Title,Default Title,73939ST,0,shopify,100,deny,manual,22.76,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/c/h/chic_parquet_dry_back_herringbone_harbour_12_1.jpg,1,Chic Parquet Dry Back Lvt Herringbone Flooring Harbour,Chic Parquet Dry Back Lvt Herringbone Flooring Harbour,,active,Home & Garden > Decor > Flooring,glue-down
chic-parquet-dry-back-lvt-herringbone-flooring-harbour,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/c/h/chic_parquet_dry_back_herringbone_harbour_7_2.jpg,2,Chic Parquet Dry Back Lvt Herringbone Flooring Harbour,,,,,
accessories,Accessories,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Advice Centre,"Advice Centre, Factory Direct Flooring, flooring, UK flooring",TRUE,Title,Default Title,,0,shopify,100,deny,manual,40.00,,TRUE,TRUE,,,Accessories,Accessories,,active,Home & Garden > Decor > Flooring,advice-centre
chic-parquet-lvt-flooring-dry-back-oak-diverse-8004,Chic Parquet LVT Flooring Dry Back Oak Diverse 8004,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Glue Down,"Glue Down, flooring, UK flooring",TRUE,Title,Default Title,73954-8004,0,shopify,100,deny,manual,22.79,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/c/h/chic_parquet_lvt_dry_back_oak_diverse_8004_1_1.jpg,1,Chic Parquet LVT Flooring Dry Back Oak Diverse 8004,Chic Parquet LVT Flooring Dry Back Oak Diverse 8004,,active,Home & Garden > Decor > Flooring,glue-down
chic-parquet-lvt-flooring-dry-back-oak-diverse-8004,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/c/h/chic_parquet_lvt_dry_back_oak_diverse_8004_15.jpg,2,Chic Parquet LVT Flooring Dry Back Oak Diverse 8004,,,,,
chic-parquet-lvt-dry-back-flooring-driftwood-8006,Chic Parquet LVT Dry Back Flooring Driftwood 8006,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Glue Down,"Glue Down, flooring, UK flooring",TRUE,Title,Default Title,73956-8006,0,shopify,100,deny,manual,22.79,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/c/h/chic_parquet_lvt_dry_back_driftwood_8006_5_1.jpg,1,Chic Parquet LVT Dry Back Flooring Driftwood 8006,Chic Parquet LVT Dry Back Flooring Driftwood 8006,,active,Home & Garden > Decor > Flooring,glue-down
